Topics
"(0, '0.032*""以色列"" + 0.013*""美国"" + 0.012*""年"" + 0.011*""协议"" + 0.008*""月"" + 0.008*""与"" + 0.008*""哈马斯"" + 0.007*""以"" + 0.007*""之后"" + 0.006*""日""')"
"(1, '0.036*""编辑"" + 0.014*""年"" + 0.012*""犹太人"" + 0.009*""各"" + 0.008*""和平"" + 0.007*""巴勒斯坦"" + 0.007*""主义"" + 0.007*""锡安"" + 0.007*""费萨尔"" + 0.007*""民族""')"
"(2, '0.039*""以色列"" + 0.018*""黎巴嫩"" + 0.013*""为"" + 0.011*""年"" + 0.008*""美国"" + 0.008*""巴勒斯坦"" + 0.008*""以"" + 0.008*""则"" + 0.008*""军队"" + 0.008*""示威""')"
"(3, '0.030*""以色列"" + 0.021*""巴勒斯坦"" + 0.012*""加沙"" + 0.010*""年"" + 0.009*""巴勒斯坦人"" + 0.009*""年月日"" + 0.009*""名"" + 0.009*""地带"" + 0.009*""他"" + 0.008*""冲突""')"
"(4, '0.029*""犹太人"" + 0.023*""年"" + 0.016*""英国"" + 0.013*""地区"" + 0.010*""阿拉伯人"" + 0.010*""与"" + 0.010*""以色列"" + 0.010*""后"" + 0.009*""阿拉伯"" + 0.009*""巴勒斯坦""')"
"(5, '0.035*""以色列"" + 0.013*""巴勒斯坦"" + 0.011*""战争"" + 0.009*""它"" + 0.009*""被"" + 0.007*""冲突"" + 0.007*""前"" + 0.007*""对"" + 0.006*""埃及"" + 0.006*""阿拉伯""')"
"(6, '0.043*""以色列"" + 0.015*""巴勒斯坦"" + 0.011*""对"" + 0.008*""方案"" + 0.007*""开始"" + 0.007*""年"" + 0.007*""美国"" + 0.007*""围墙"" + 0.007*""路线图"" + 0.007*""建立""')"
"(7, '0.041*""以色列"" + 0.023*""加沙"" + 0.016*""年月日"" + 0.013*""以军"" + 0.012*""向"" + 0.012*""巴勒斯坦人"" + 0.012*""地带"" + 0.011*""月"" + 0.011*""发射"" + 0.011*""日""')"
"(8, '0.025*""以色列"" + 0.017*""编辑"" + 0.016*""巴勒斯坦"" + 0.016*""阿拉伯"" + 0.013*""犹太人"" + 0.013*""国家"" + 0.010*""战争"" + 0.010*""人口"" + 0.010*""难民"" + 0.006*""阿拉伯人""')"
"(9, '0.027*""月"" + 0.014*""以色列"" + 0.013*""年"" + 0.013*""日"" + 0.010*""加沙"" + 0.010*""地带"" + 0.010*""空袭"" + 0.010*""造成"" + 0.010*""杰哈德"" + 0.010*""死亡""')"
